		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
intensity	y0	-0.04356	0.0319	-1.36539	0.17759	0.85471
intensity	xc	0.48444	0.00211	229.63792	5.47702E-85	1.24824E-4
intensity	w	0.11121	0.01019	10.90998	1.77198E-15	0.82674
intensity	A	0.16937	0.01696	9.9836	4.85251E-14	0.92787
intensity	H	0.96953	0.04145			
intensity	y0	0.01268	0.00109	11.67579	2.19877E-11	0.95111
intensity	xc	0.87727	0.00204	430.54442	3.40277E-48	0.02708
intensity	w	0.09144	0.01367	6.68886	6.42613E-7	0.91381
intensity	A	0.00183	3.74574E-4	4.89038	5.48927E-5	0.97693
intensity	H	0.01275	0.00103			
intensity	y0	2.96384E-4	0.00103	0.28913	0.77507	0.97831
intensity	xc	0.99494	0.00173	574.05134	2.46192E-49	0.39519
intensity	w	0.14375	0.0129	11.14377	9.54068E-11	0.9692
intensity	A	0.00403	5.39131E-4	7.46774	1.36876E-7	0.99189
intensity	H	0.01783	9.25178E-4			
