		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
intensity	y0	-0.01035	0.00742	-1.39629	0.16761	0.76069
intensity	xc	0.54183	0.00315	171.88722	8.95626E-85	0.12288
intensity	w	0.06761	0.00723	9.35783	1.81808E-13	0.61022
intensity	A	0.10938	0.00873	12.53415	1.19537E-18	0.55843
intensity	H	1.02993	0.12369			
intensity	y0	0.00738	4.40327E-4	16.75172	1.89205E-15	0.97653
intensity	xc	0.96862	0.00124	783.06118	2.03952E-58	0.02246
intensity	w	0.11341	0.01071	10.58996	6.34204E-11	0.94837
intensity	A	0.00122	1.7499E-4	6.9652	2.14317E-7	0.98877
intensity	H	0.00684	3.99885E-4			
intensity	y0	4.98929E-4	1.33838E-4	3.72785	5.71512E-4	0.92024
intensity	xc	1.11128	9.15852E-4	1213.38553	4.01764E-97	0.38305
intensity	w	0.17283	0.00473	36.57234	1.76963E-33	0.93329
intensity	A	0.00319	1.06313E-4	29.97941	5.52431E-30	0.97393
intensity	H	0.01174	1.29594E-4			
