sample	$d_1$	$d_2$	$d_3$	$d_2/d_1$	$d_3/d_1$	LLC phase	a
SI06_210623[7]	11.45635199200278	6.27261980818586	5.567939138347862	0.5475233139279	0.486013273879383	hexagonal	15.938750954378634
SI09_210628[7]	10.897635627242082	6.328021930113074	5.323749109021014	0.580678428474355	0.4885233174536155	hexagonal	15.599696213111477
SI16_210803[7]	11.438019655997941	6.375274072276461	5.553602863124399	0.5573756877514505	0.485538845897346	hexagonal	16.039193699160204
SI17_210811[7]	10.28139320430034	5.896791989413492	5.11378169933557	0.5735401683642519	0.4973821735751394	hexagonal	14.702929961902173
SI19_210825[7]	14.2578214904188	7.565268939475805	5.822286651052516	0.5306048293955452	0.4083573815933289	not determinable	-
