OTAB_010wtp_T025_q	OTAB_010wtp_T025_i	OTAB_020wtp_T025_q	OTAB_020wtp_T025_i	OTAB_030wtp_T025_q	OTAB_030wtp_T025_i	OTAB_040wtp_T025_q	OTAB_040wtp_T025_i	OTAB_050wtp_T025_q	OTAB_050wtp_T025_i	OTAB_061wtp_T025_q	OTAB_061wtp_T025_i	OTAB_062wtp_T025_q	OTAB_062wtp_T025_i	OTAB_063wtp_T025_q	OTAB_063wtp_T025_i	OTAB_064wtp_T025_q	OTAB_064wtp_T025_i	OTAB_065wtp_T025_q	OTAB_065wtp_T025_i	OTAB_066wtp_T025_q	OTAB_066wtp_T025_i	OTAB_067wtp_T025_q	OTAB_067wtp_T025_i	OTAB_068wtp_T025_q	OTAB_068wtp_T025_i	OTAB_069wtp_T025_q	OTAB_069wtp_T025_i	OTAB_070wtp_T025_q	OTAB_070wtp_T025_i	OTAB_071wtp_T025_q	OTAB_071wtp_T025_i	OTAB_073wtp_T025_q	OTAB_073wtp_T025_i	OTAB_074wtp_T025_q	OTAB_074wtp_T025_i	OTAB_075wtp_T025_q	OTAB_075wtp_T025_i	OTAB_078wtp_T025_q	OTAB_078wtp_T025_i	OTAB_079wtp_T025_q	OTAB_079wtp_T025_i	OTAB_080wtp_T025_q	OTAB_080wtp_T025_i	OTAB_090wtp_T025_q	OTAB_090wtp_T025_i	OTAB_100wtp_T025_q	OTAB_100wtp_T025_i	OTAB_078wtp_T058_q	OTAB_078wtp_T058_i	OTAB_078wtp_T060_q	OTAB_078wtp_T060_i	OTAB_082wtp_T025_q	OTAB_082wtp_T025_i	OTAB_093wtp_T025_q	OTAB_093wtp_T025_i	OTAB_100wtp_T095_q	OTAB_100wtp_T095_i
0.180893	4.62742e-07	0.180893	1.00951e-06	0.180893	2.491483e-06	0.180893	1.644553e-07	0.180893	2.3611e-06	0.180893	1.29527e-06	0.180893	5.389124e-07	0.180893	8.562966e-06	0.180893	7.143115e-09	0.180893	1.25751e-06	0.180893	1.454914e-06	0.180893	2.797826e-06	0.180893	1.702226e-06	0.180893	2.063407e-08	0.180893	3.836517e-05	0.5394536	0.01689591	0.1875335	1.094108e-10	0.2207358	8.128721e-08	0.8846462	4.59713e-06	0.2140954	4.465118e-06	0.1875335	3.577292e-08	0.180893	2.915663e-05	0.180893	2.618421e-06	0.180893	2.10784e-10	0.2605781	2.499357e-05	0.2340166	6.353199e-07	0.5328143	0.01421102	0.194174	1.349126e-08	0.180893	1.529207e-09
0.1875335	6.560143e-07	0.1875335	4.86578e-06	0.1875335	2.916286e-06	0.1875335	2.274738e-06	0.1875335	1.740746e-06	0.1875335	4.07567e-06	0.1875335	3.334148e-05	0.1875335	1.154639e-05	0.1875335	1.179462e-06	0.1875335	0.0001166078	0.1875335	4.368005e-06	0.1875335	3.39989e-06	0.1875335	1.427689e-06	0.1875335	9.275733e-07	0.1875335	0.0001028299	0.546093	0.0183429	0.194174	1.835639e-07	0.2273762	4.828766e-12	0.8912832	0.002829632	0.2340166	2.665172e-06	0.194174	1.447863e-06	0.1875335	7.116985e-05	0.1875335	3.555962e-05	0.1875335	2.864972e-10	0.2672184	0.001500895	0.2605781	1.874073e-05	0.5394536	0.001865355	0.2008145	1.055694e-09	0.1875335	1.53681e-09
0.280499	2.158597e-05	0.280499	1.048111e-05	0.194174	4.545391e-08	0.2871393	3.978696e-05	0.280499	1.017657e-07	0.280499	1.057325e-06	0.4133009	0.0008021323	0.194174	1.446871e-07	0.2738587	3.267017e-05	0.2937796	0.001141116	0.194174	1.112239e-08	0.194174	1.211055e-10	0.194174	1.179209e-07	0.194174	8.178902e-10	0.2871393	0.002039867	0.5527323	0.00779412	0.2008145	1.613212e-07	0.2472974	1.319149e-09	0.8979203	0.001772884	0.2605781	0.001720583	0.2008145	1.510949e-08	0.4133009	1.699381e-05	0.2871393	0.01640684	0.2605781	6.609187e-06	0.3933812	0.0008512972	0.2672184	0.002345093	0.546093	0.008057489	0.2074549	1.573889e-10	0.194174	1.248219e-09
0.2871393	0.0009829878	0.2871393	0.0007430934	0.280499	7.802804e-06	0.2937796	0.00129294	0.2871393	0.0009099679	0.2871393	0.004670075	0.4265806	7.464125e-05	0.2871393	0.0001266871	0.280499	0.08196017	0.3004198	0.007240535	0.2871393	3.21956e-05	0.2871393	6.483033e-05	0.2871393	0.004196379	0.280499	0.004126555	0.2937796	0.008217577	0.5593715	0.01728175	0.2074549	6.886763e-08	0.2539378	1.604149e-09	0.9111942	0.0006643689	0.2672184	0.02590054	0.2074549	5.119592e-08	0.4265806	2.745938e-05	0.2937796	0.02270561	0.2672184	0.03520917	0.4133009	0.002816637	0.4199408	0.0001662486	0.5593715	0.01117627	0.2140954	4.951298e-09	0.2008145	6.263546e-08
0.2937796	0.005795988	0.2937796	0.00216936	0.2871393	0.0002224351	0.3004198	0.003342162	0.2937796	0.01568286	0.2937796	0.01354624	0.4531397	0.00334905	0.2937796	0.002746064	0.2871393	0.04197784	0.3070601	0.003279053	0.2937796	0.004986368	0.2937796	0.0005878677	0.2937796	0.01211705	0.2871393	0.1244999	0.3004198	0.01014886	0.5660107	0.01790179	0.2140954	2.871646e-07	0.2605781	0.001203778	0.9178311	0.001260569	0.4199408	5.319948e-09	0.2140954	7.756108e-08	0.4465	2.984812e-05	0.3004198	0.03197732	0.2738587	0.3887195	0.4199408	2.632344e-05	0.4265806	0.001309883	0.5660107	0.005399949	0.2273762	5.606054e-11	0.2074549	1.586433e-11
0.3004198	0.008043355	0.3004198	0.005005319	0.2937796	0.001319709	0.3070601	0.001220094	0.3004198	0.05023498	0.3004198	0.02812133	0.4664191	0.001324759	0.3004198	0.003321931	0.2937796	0.05629998	0.3137003	0.005914015	0.3004198	0.01808581	0.3004198	0.004786957	0.3004198	0.03001495	0.2937796	0.1248631	0.3070601	0.005533765	0.5726499	0.01581129	0.2273762	3.072252e-11	0.2672184	0.01803707	0.9244679	0.001696258	0.4265806	0.002254931	0.2273762	1.054051e-06	0.4531397	0.002474737	0.3070601	0.01417476	0.280499	1.214173	0.4265806	0.002328093	0.4398602	0.001458139	0.5726499	0.0009039106	0.2340166	3.439287e-10	0.2140954	1.496875e-09
0.3070601	0.008263934	0.3070601	0.005745596	0.3004198	0.005770913	0.3137003	0.003158536	0.3070601	0.03033002	0.3070601	0.009506315	0.4929775	0.0007602766	0.3070601	0.001664933	0.3004198	0.05469416	0.3203405	0.01534686	0.3070601	0.016009	0.3070601	0.003592168	0.3070601	0.01827073	0.3004198	0.1239422	0.3137003	0.0124843	0.5792891	0.02580626	0.2340166	1.410654e-09	0.4398602	8.634402e-05	0.9311047	0.005510795	0.4332205	0.0004515803	0.2340166	2.911846e-09	0.4664191	0.001811302	0.3137003	0.01847014	0.2871393	1.263338	0.4332205	0.01645814	0.4465	0.01265504	0.5792891	0.01189009	0.2472974	1.944632e-08	0.2273762	8.54725e-10
0.3137003	0.007421182	0.3137003	0.003981604	0.3070601	0.005733076	0.3203405	0.008937276	0.3137003	0.01841386	0.3137003	0.01454917	0.4996171	0.0002603815	0.3137003	0.004152583	0.3070601	0.03327397	0.3269806	0.00748556	0.3137003	0.01197995	0.3137003	0.009179202	0.3137003	0.01366535	0.3070601	0.1289004	0.3203405	0.02191574	0.5859282	0.01324304	0.2472974	4.707006e-07	0.4465	0.0008102001	0.9377414	0.005671212	0.4398602	0.0006544352	0.240657	1.776462e-05	0.4929775	0.008109762	0.3203405	0.02500281	0.2937796	1.367722	0.4398602	0.02033162	0.4531397	5.443841e-05	0.5859282	0.002528111	0.2539378	0.0002240992	0.2539378	4.118771e-10
0.3203405	0.01779094	0.3203405	0.01231899	0.3137003	0.002706087	0.3269806	0.004350444	0.3203405	0.02721734	0.3203405	0.02547148	0.5062566	0.007620952	0.3203405	0.01258641	0.3137003	0.02267524	0.3336208	0.01023402	0.3203405	0.0343401	0.3203405	0.009293457	0.3203405	0.02810736	0.3137003	0.09508284	0.3269806	0.01286866	0.5925673	0.01103124	0.2605781	0.0003599623	0.4531397	0.0201369	0.9443781	4.55707e-07	0.4531397	0.03359814	0.2472974	0.09328383	0.4996171	5.853838e-05	0.3269806	0.01529084	0.3004198	1.175935	0.4531397	0.008713321	0.4597794	0.0004709496	0.5925673	0.006469735	0.2605781	1.46987	0.2605781	0.01516992
0.3269806	0.009802807	0.3269806	0.006323036	0.3203405	0.01359287	0.3336208	0.003994879	0.3269806	0.02355994	0.3269806	0.02120904	0.5128961	0.001022254	0.3269806	0.005930812	0.3203405	0.0469476	0.3402609	0.01759154	0.3269806	0.01162385	0.3269806	0.005743149	0.3269806	0.01986492	0.3203405	0.1186341	0.3336208	0.007374578	0.5992063	0.008168004	0.2672184	0.002244363	0.4597794	0.001872851	0.9510147	0.003756866	0.4597794	0.001086066	0.2539378	0.2632801	0.5062566	0.01151987	0.3336208	0.006041056	0.3070601	0.827795	0.4597794	0.0004864394	0.4664191	0.00316556	0.5992063	0.00881526	0.2672184	8.203364	0.2672184	1.008717
