OTAB_078wtp_T060_q	OTAB_078wtp_T060_i	OTAB_082wtp_T025_q	OTAB_082wtp_T025_i	OTAB_078wtp_T058_q	OTAB_078wtp_T058_i	OTAB_093wtp_T025_q	OTAB_093wtp_T025_i	OTAB_100wtp_T095_q	OTAB_100wtp_T095_i
0.6191232	0.009288878	0.7518937	0.00722651	0.6124843	0.04783574	0.4199408	0.2588077	0.4199408	0.1976164
0.6257621	0.009578817	0.7585317	0.009019762	0.6191232	0.01122829	0.4265806	0.2995545	0.4265806	0.3715544
0.632401	0.0103596	0.7651698	0.00387919	0.6257621	0.01890255	0.4332205	0.1389407	0.4332205	0.06102719
0.6390398	0.01563825	0.7718078	0.005808641	0.632401	0.04692532	0.4398602	0.1113679	0.4398602	0.03742447
0.6456786	0.01454276	0.7784457	0.006866741	0.6390398	0.05390581	0.4465	0.2492414	0.4465	0.1902016
0.6523173	0.02884462	0.7850836	0.007221425	0.6456786	0.01467055	0.4531397	0.2202651	0.4531397	0.1578192
0.6589561	0.01934495	0.7917214	0.00984995	0.6523173	0.05825354	0.4597794	0.1078078	0.4597794	0.01149202
0.6655947	0.01795386	0.7983592	0.004961324	0.6589561	0.02010951	0.4664191	0.07266222	0.4664191	0.04837639
0.6722334	0.01282691	0.804997	0.01063707	0.6655947	0.01912553	0.4730588	0.2022886	0.4730588	0.02977638
0.6788719	0.01019621	0.8116347	0.006087854	0.6722334	0.1077355	0.4796984	0.19044	0.4796984	0.225437
0.6855105	0.04402412	0.8182724	0.01410804	0.6788719	0.02986174	0.486338	0.1065374	0.486338	0.01616772
0.692149	0.02450991	0.82491	0.01568827	0.6855105	0.03263246	0.4929775	0.09990248	0.4929775	0.1592082
0.6987875	0.06126263	0.8315475	0.01895652	0.692149	0.02817152	0.4996171	0.08975776	0.4996171	0.07358783
0.7054259	0.04108349	0.838185	0.01927812	0.6987875	0.05348732	0.5062566	0.1805577	0.5062566	0.08590652
0.7120643	0.03777691	0.8448225	0.009488686	0.7054259	0.03507203	0.5128961	0.1353995	0.5128961	0.202647
0.7187026	0.02687655	0.8514599	0.01307917	0.7120643	0.0199538	0.5195355	0.2112909	0.5195355	0.05741242
0.7253409	0.07359309	0.8580972	0.01500765	0.7187026	0.03844122	0.5261749	0.1055765	0.5261749	0.08081255
0.7319792	0.02565664	0.8647345	0.007746192	0.7253409	0.01689041	0.5328143	0.1357198	0.5328143	0.18741
0.7386174	0.006811022	0.8713718	0.01367816	0.7319792	0.06634415	0.5394536	0.07410828	0.5394536	0.03893478
0.7452555	0.05265808	0.878009	0.006090581	0.7386174	0.0273319	0.546093	0.06534255	0.546093	0.07798397
0.7518937	0.02684445	0.8846462	0.004424105	0.7452555	0.05433011	0.5527323	0.04828829	0.5527323	0.1140863
0.7585317	0.01295143	0.8912832	0.008258706	0.7518937	0.04381751	0.5593715	0.1376597	0.5593715	0.335447
0.7651698	0.0381117	0.8979203	0.01276832	0.7585317	0.03757708	0.5660107	0.107335	0.5660107	0.01611681
0.7718078	0.04821313	0.9045573	0.0115806	0.7651698	0.1060147	0.5726499	0.1398664	0.5726499	0.04944691
0.7784457	0.007271655	0.9111942	0.007106321	0.7718078	0.0726159	0.5792891	0.024523	0.5792891	0.03443772
0.7850836	0.04964995	0.9178311	0.004714929	0.7784457	0.02558495	0.5859282	0.0711646	0.5859282	0.1209114
0.7917214	0.02690265	0.9244679	0.01540643	0.7850836	0.0252968	0.5925673	0.07304437	0.5925673	0.1187349
0.7983592	0.09807186	0.9311047	0.009440275	0.7917214	0.05334719	0.5992063	0.03200173	0.5992063	0.02654645
0.804997	0.01880194	0.9377414	0.01325194	0.7983592	0.03835579	0.6058453	0.02209829	0.6058453	0.01191469
0.8116347	0.03128266	0.9443781	0.0153345	0.804997	0.043563	0.6124843	0.01543475	0.6124843	0.03007918
0.8182724	0.04811025	0.9510147	0.0254472	0.8116347	0.01410366	0.6191232	0.07560177	0.6191232	0.05770585
0.82491	0.03138981	0.9576512	0.006665047	0.8182724	0.02741159	0.6257621	0.07688133	0.6257621	0.08344148
0.8315475	0.06903077	0.9642877	0.0112594	0.82491	0.06402613	0.632401	0.06557987	0.632401	0.02601935
0.838185	0.01857483	0.9709241	0.008906134	0.8315475	0.06209768	0.6390398	0.03596178	0.6390398	0.009774988
0.8448225	0.1057047	0.9775605	0.01117131	0.838185	0.02486858	0.6456786	0.05733106	0.6456786	0.09299302
0.8514599	0.02736306	0.9841968	0.01033599	0.8448225	0.03917765	0.6523173	0.08249599	0.6523173	0.01934353
0.8580972	0.05531199	0.9908331	0.008444138	0.8514599	0.03957032	0.6589561	0.02677444	0.6589561	0.1081012
0.8647345	0.02192907	0.9974693	0.008209532	0.8580972	0.02267952	0.6655947	0.1112477	0.6655947	0.1099471
