		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
I	y0	2.65686E-5	1.23592E-6	21.49696	9.6178E-69	0.15961
I	xc	2.68658	9.89295E-4	2715.64732	0	3.11064E-8
I	w	0.07328	0.00292	25.06845	4.08888E-84	0.54188
I	A	4.65831E-5	1.37201E-6	33.95248	5.271E-120	0.57982
I	H	4.04683E-4	1.09268E-5			
I	y0	1.04901E-5	9.27396E-8	113.11399	6.22991E-91	0.5241
I	xc	5.39375	0.00337	1601.8946	4.18675E-184	7.40886E-8
I	w	0.06192	0.01155	5.36093	7.63019E-7	0.6597
I	A	2.72959E-7	4.30562E-8	6.33961	1.22795E-8	0.76218
I	H	2.80638E-6	3.06433E-7			
