		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
I	y0	1.17974E-5	2.44621E-7	48.22733	1.36207E-116	0.69155
I	xc	2.45881	0.00251	981.2199	0	0.02286
I	w	0.37196	0.01008	36.89028	1.83264E-94	0.76361
I	A	1.92303E-5	4.98419E-7	38.58247	4.48645E-98	0.86935
I	H	3.29131E-5	4.5801E-7			
I	y0	1.81029E-5	9.50129E-7	19.0531	1.8253E-30	0.23654
I	xc	2.92503	2.95805E-4	9888.35094	3.11159E-231	1.70045E-4
I	w	0.02223	8.7671E-4	25.35675	1.57465E-38	0.56008
I	A	8.49208E-6	2.55478E-7	33.23996	1.25167E-46	0.61552
I	H	2.43189E-4	6.36378E-6			
I	y0	9.72543E-6	1.09837E-7	88.54395	1.2383E-45	0.47536
I	xc	4.75921	0.00214	2223.5473	7.31602E-99	2.62694E-5
I	w	0.02735	0.00713	3.83815	4.55023E-4	0.64022
I	A	1.10534E-7	2.38667E-8	4.63131	4.17015E-5	0.73767
I	H	2.573E-6	4.03126E-7			
