		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
I	y0	-0.00657	0.00208	-3.15325	0.00198	0.12921
I	xc	2.51764	1.85304E-4	13586.51026	0	3.91997E-4
I	w	0.02045	5.65012E-4	36.19137	1.25993E-72	0.54033
I	A	0.03683	7.31867E-4	50.32055	4.2166E-91	0.57046
I	H	1.14655	0.02149			
I	y0	1.9237E-4	2.95806E-5	6.50324	4.25176E-8	0.31791
I	xc	4.38216	2.36526E-4	18527.16845	2.10468E-166	1.46111E-4
I	w	0.02008	7.7302E-4	25.97853	6.38979E-30	0.59562
I	A	2.11231E-4	6.18746E-6	34.13852	2.51634E-35	0.66427
I	H	0.0067	1.63993E-4			
